,latitude,longitude,availability_365,id,reviews,last_review
173,-22.966054740411742,-43.1785438455231,365,289898,2,2017-09-17
174,-22.979553228510625,-43.19168743273698,364,290503,1,2018-02-06
175,-22.974286612976925,-43.18919132356928,365,291290,0,2016-02-11
176,-22.96460079939253,-43.1905912692168,89,291771,0,2018-02-20
177,-22.914945424991377,-43.18231701994301,365,293166,0,2017-01-13
178,-22.9471199655438,-43.18553808706627,38,295683,22,2018-02-26
179,-22.93352204321092,-43.18116533039851,88,295955,0,2017-03-01
180,-23.00683607538989,-43.32427114566512,365,296910,0,2017-09-26
181,-22.946820542869315,-43.18368433055904,167,297070,50,2018-03-23
182,-22.915254577724543,-43.18136289087773,330,297908,0,2016-08-19
183,-22.979847913088747,-43.19135404653498,312,298913,7,2018-03-21
184,-22.9300689216508,-43.19453100989298,365,299352,0,2014-07-06
185,-22.984046680078727,-43.20033559708556,287,299685,12,2018-02-08
186,-22.984104389707493,-43.19268956952355,0,302327,0,2018-02-26
187,-22.938361619417243,-43.20521792145274,239,305894,1,2018-02-14
188,-22.97953670566828,-43.19019484304139,150,306113,16,2018-03-31
189,-23.006540624154454,-43.34505822552332,359,306118,0,2017-12-27
190,-22.98354734310433,-43.19792675797005,89,307714,0,2018-01-03
191,-22.96771342716315,-43.187179588697575,365,309255,2,2017-03-14
192,-22.96776638572468,-43.1819181446616,339,310233,2,2018-02-15
193,-22.96840278142752,-43.18209058881688,308,311801,13,2018-04-02
194,-22.984446544659807,-43.200373532313,334,313223,14,2018-03-31
195,-22.881770552619844,-43.49129234328053,365,313441,0,2014-06-23
196,-22.91040051989052,-43.195443644921866,5,313700,0,2017-11-20
197,-22.98855835639561,-43.2264087234198,365,314975,0,2018-02-16
198,-22.986805492633952,-43.19747563988771,364,315102,4,2018-03-29
199,-22.98059634546848,-43.19818025817462,338,315109,0,2015-04-22
200,-22.97122528201036,-43.18994244721952,342,316118,2,2018-03-25
201,-22.979161638502973,-43.22685597814176,94,316355,0,2017-03-01
202,-22.981368342518277,-43.19254561518488,355,316359,1,2018-01-04
203,-22.943152749092214,-43.18477592345404,312,316652,4,2018-04-01
204,-22.9690351889906,-43.18197203745554,357,318861,0,2014-06-19
205,-22.94194527318184,-43.188298349931095,365,320409,0,2013-02-15
206,-22.94108689951349,-43.18754097357572,365,321637,0,2012-02-21
207,-22.94078553714833,-43.18847217590761,365,321648,0,2015-01-09
208,-22.9246408635504,-43.191556863741,365,321802,1,2016-08-18
209,-22.98579965332638,-43.20196471813366,319,322004,26,2018-04-04
210,-22.98211845185002,-43.19839655849066,364,323213,0,2018-02-13
211,-22.96870619690722,-43.182173360897536,365,323625,15,2018-03-19
212,-22.96521432174303,-43.17614346349849,294,324324,13,2018-03-27
213,-22.94138590367117,-43.18730402266775,365,324541,0,2015-11-09
214,-22.94156584339963,-43.18577921079981,279,324679,2,2018-01-25
215,-22.96657861865659,-43.18256481769042,365,326205,0,2018-01-31
216,-22.97704871921615,-43.188644210944,267,326354,15,2018-04-10
217,-22.98309575598705,-43.30133949336035,365,326393,0,2018-01-02
218,-22.9771726013364,-43.18935067591689,271,326575,20,2018-04-09
219,-22.924733018859257,-43.19144220741262,365,326674,0,2016-08-20
220,-22.92269905848436,-43.1833651647412,365,327375,0,2018-02-13
221,-22.959867595274776,-43.20826855240601,0,327376,0,2014-06-21
222,-22.92086951044769,-43.18861633994251,365,328626,0,2012-02-21
223,-22.978762563749125,-43.22409553427191,341,331088,2,2017-12-17
224,-22.94311132915324,-43.18365506854623,302,331199,6,2018-04-03
225,-22.9848032810666,-43.19580586783267,365,331463,6,2018-04-01
226,-22.92854412444802,-43.19478262863695,365,332150,7,2018-02-23
227,-22.928731709565017,-43.19412028633708,365,332151,1,2018-04-04
228,-22.923570862730426,-43.172119690364845,331,332374,12,2018-02-20
229,-22.986835921954658,-43.19196863179644,0,332717,0,2017-06-25
230,-22.968731674254144,-43.18238445500861,70,333305,0,2016-08-24
231,-22.903808865297883,-43.22037376141856,365,333688,0,2013-02-14
232,-22.9868037090611,-43.19075431854439,117,336501,9,2018-03-15
233,-22.944907761773145,-43.18311802407714,256,336569,1,2017-07-26
234,-22.91443003793194,-43.18853292676649,365,337105,0,2014-07-16
235,-22.969840949004585,-43.18324278880123,364,338885,0,2017-03-02
236,-22.934581514745027,-43.17781569527578,365,339996,0,2012-02-24
237,-22.981014876513587,-43.22584861687908,156,340432,20,2018-04-02
238,-22.954154968317223,-43.19434644183605,0,341845,0,2016-01-27
239,-22.96484017162533,-43.17288296226699,342,342874,20,2018-04-02
240,-23.01124413074581,-43.372540469340905,365,344463,8,2017-09-24
241,-22.966528912055548,-43.18057170178756,365,347295,1,2016-08-22
242,-22.982701312808626,-43.19101978405681,303,347820,24,2018-03-31
243,-22.981935053134823,-43.18916102240243,317,347883,23,2018-02-24
244,-22.976206206595908,-43.19711199759836,19,348330,4,2017-04-11
245,-22.981098379281597,-43.20766538065688,72,349618,3,2018-02-07
246,-22.97257788603524,-43.18969012462309,164,349934,7,2018-01-22
247,-22.98163317680996,-43.19178298794705,365,352718,0,2013-02-14
248,-22.98289210063448,-43.190991260416055,347,355285,8,2018-02-15
249,-22.96317609300404,-43.17459764032937,255,356489,2,2018-02-18
250,-22.973945128073343,-43.18935586052197,89,357554,22,2018-04-02
251,-22.966414075196045,-43.181330987318994,341,360877,16,2018-03-25
252,-23.014664933895663,-43.30410501395732,365,361568,1,2017-05-05
253,-23.01502509792826,-43.30016201825993,365,361569,0,2018-02-07
254,-22.97522840129995,-43.18877583242785,345,363370,17,2018-03-12
255,-22.976043424256247,-43.18673279710254,342,365578,27,2018-04-02
256,-22.92210076985005,-43.17418616852884,0,367125,1,2018-02-15
257,-22.92039435136884,-43.1815723324706,0,367126,0,2018-02-14
258,-22.987750896626697,-43.19350174346429,359,367590,0,2017-09-25
259,-22.986522872297343,-43.19532077669975,242,368146,29,2018-04-08
260,-22.9758216495511,-43.197099413467015,180,371899,0,2017-03-02
261,-22.98483898354464,-43.19613207316733,299,371950,36,2018-04-10
262,-22.9658157769378,-43.19117740547228,286,383985,4,2017-06-20
263,-22.986097246807905,-43.190141861472135,192,387694,15,2018-04-10
264,-22.913388084880125,-43.1758620518691,364,392267,16,2018-03-22
265,-22.982236692816095,-43.19419941799162,179,394953,0,2018-01-26
266,-22.98176138103282,-43.22190013686867,175,396849,12,2018-03-23
267,-22.933085728001675,-43.17627669513851,365,396985,0,2013-02-17
268,-22.92041455239312,-43.19038260316655,0,399476,0,2017-07-15
269,-22.967690434647057,-43.18396690532985,365,400326,8,2018-01-30
270,-22.968735931346984,-43.18609619683723,98,400887,1,2017-03-01
271,-22.973257987601205,-43.19220126907304,38,403908,0,2018-01-05
272,-22.984331603329363,-43.194884510184544,221,404741,1,2015-11-12
273,-22.98336272822639,-43.19144404091001,180,404771,1,2018-02-14
274,-22.985145689440014,-43.200014412737794,231,404827,0,2018-04-04
275,-22.97392888089965,-43.18862124081191,180,405444,13,2018-03-22
276,-22.972419146832447,-43.18834210826252,291,406603,27,2018-04-04
277,-22.96778301918939,-43.18203933446969,328,409038,-1,2018-02-14
278,-22.98545127859173,-43.23312123036965,0,409156,2,2018-03-27
279,-22.913725668670363,-43.18078913801661,345,409183,6,2015-04-30
280,-22.94625334583772,-43.3367788222334,363,409668,0,2016-08-20
281,-22.9405741972243,-43.1761112263323,365,410515,0,2014-03-18
282,-22.92138563404582,-43.178332082292926,148,413412,23,2018-03-27
283,-22.954110081466418,-43.19504542048918,365,416290,1,2016-08-09
284,-22.98389843664486,-43.19198269605708,179,417916,3,2017-12-17
285,-22.995782696068115,-43.25397278675517,365,419204,1,2018-01-15
286,-22.9564358717226,-43.20233909330719,356,421001,6,2018-02-19
287,-22.9812599344018,-43.19433221045785,77,424916,4,2018-04-02
288,-22.926670323238653,-43.18052703510731,317,427744,0,2016-08-29
289,-22.984266792350077,-43.20796239151668,364,428798,0,2018-02-14
290,-22.917108666951805,-43.18593736145858,364,429280,0,2013-02-14
291,-22.982277749176863,-43.19839617802525,365,433821,3,2014-07-22
292,-22.93845386332973,-43.17663169289283,168,435413,34,2018-04-03
293,-22.979649042264604,-43.18914693929955,47,435728,17,2018-03-13
294,-22.93317955840156,-43.17680797752786,364,436868,0,2016-11-30
295,-22.898861666060704,-43.21927846887211,365,437314,0,2016-08-19
296,-22.97788700110229,-43.225613853037856,365,438767,0,2014-07-22
297,-22.962739357067758,-43.17717985328229,0,439879,0,2017-01-01
298,-22.93380225831926,-43.19263902103926,365,440183,0,2016-04-06
299,-22.985950844710786,-43.19903051072752,365,441118,0,2013-05-20
300,-22.986234723672027,-43.20020456566076,268,441119,1,2017-05-13
301,-22.959399893872146,-43.20252609789028,340,441712,3,2017-03-01
302,-22.921189892934365,-43.17459708791519,346,442509,1,2018-03-29
303,-22.942884493412457,-43.181151315082296,363,444101,1,2018-02-12
304,-22.971198379055547,-43.186460497283086,355,444250,7,2018-04-01
305,-22.98077924386018,-43.20843902003013,0,447593,0,2016-08-20
306,-22.957990719635216,-43.20390397870339,364,449040,0,2016-02-28
307,-22.9809186513638,-43.19179159051293,365,449391,3,2018-02-19
308,-22.91585926065169,-43.20939275709866,365,452500,0,2017-04-03
309,-23.00730546229472,-43.32376033222139,347,459372,2,2017-07-29
310,-22.96995670780437,-43.1825230102685,164,461479,1,2017-11-17
311,-22.934087653139954,-43.18081591762393,327,464220,7,2018-02-17
312,-22.96082614775812,-43.20411739186436,365,465227,0,2017-02-28
313,-22.98356533932859,-43.19368762071844,365,466477,0,2017-09-22
314,-23.00897249916725,-43.42436659330721,365,466511,0,2016-08-15
315,-22.81027552645929,-43.18177774736999,365,467978,0,2014-07-01
316,-23.006900470598502,-43.31146697305052,318,469266,1,2016-08-09
317,-22.950906463670517,-43.26336063299735,358,469673,0,2018-02-14
318,-22.949393796868133,-43.18250404399445,316,471651,1,2018-01-21
319,-22.934920764007448,-43.17585036081511,364,472513,0,2015-02-26
320,-23.006603364278423,-43.29758219695447,177,472542,3,2018-01-23
321,-22.98253496830685,-43.19123835723529,309,473180,1,2018-03-06
322,-22.98463314861537,-43.213377226981976,338,474008,6,2018-03-27
323,-23.00811356922707,-43.43593119002332,364,478582,0,2016-08-19
324,-22.98646545499449,-43.194312152855154,365,480220,5,2018-02-09
325,-23.008709757244738,-43.32222678564823,306,483578,2,2018-01-21
326,-22.9850441757955,-43.19227750435189,363,484267,8,2018-04-02
327,-23.00462609535956,-43.37645652569506,349,484296,0,2018-02-27
328,-22.98661138210036,-43.19455998423339,284,485019,0,2016-01-05
329,-22.98166720926613,-43.190583085177074,180,485171,1,2017-02-19
330,-22.98176592429182,-43.1999003863148,246,485293,30,2018-04-02
331,-22.93398200734629,-43.240687342821936,365,486337,0,2016-08-18
332,-22.990089807145296,-43.232931947204136,365,487461,0,2017-01-25
333,-22.98432512926395,-43.22915480172734,364,488190,0,2018-02-14
334,-22.982383982760176,-43.19156252666801,179,489917,0,2015-03-21
335,-22.999718379214823,-43.35812529152568,50,489987,2,2018-04-06
336,-22.983939895931087,-43.22620317989102,357,490098,21,2018-03-26
337,-22.920517607598544,-43.253905689634514,0,490755,0,2016-08-23
338,-22.97576170388139,-43.1907848946102,358,492856,18,2017-11-19
339,-22.96583211640093,-43.188665429342194,365,493569,11,2018-01-29
340,-22.987582393389857,-43.193228732086006,365,494703,2,2018-02-15
341,-22.991872497241776,-43.23300608300078,167,494903,51,2018-04-11
342,-23.004192750463652,-43.322932219154815,0,495330,0,2014-01-08
343,-22.931934572150947,-43.2409097332862,358,496174,0,2013-02-14
344,-23.010374965675226,-43.329551263161925,364,502315,0,2017-12-07
345,-22.97855095543318,-43.188731635198046,361,504174,-1,2017-12-27
346,-23.00117393607749,-43.359134982120025,337,504434,3,2018-04-08
347,-22.98037953063757,-43.19809187914648,365,505165,1,2018-02-13
348,-22.943746217577928,-43.20534804149859,364,507900,4,2017-09-26
349,-22.914807224490048,-43.19154951644465,365,508012,0,2014-07-04
350,-23.010899963316383,-43.3691800210698,346,508247,4,2018-03-30
351,-22.982407242907584,-43.197555165402754,364,508383,0,2017-07-15
352,-22.98259387681506,-43.19850179251668,355,509929,13,2018-02-17
353,-22.982893033886416,-43.20890527211108,70,510558,0,2017-10-09
354,-22.96315171588574,-43.16938613876024,237,512634,1,2018-02-19
355,-22.955784578070457,-43.19387141730748,311,515144,6,2018-03-20
356,-22.980939022893384,-43.19165868896571,310,515235,2,2018-02-13
357,-22.98672785972597,-43.19772498059087,211,519097,16,2018-01-21
358,-23.01069304603234,-43.328806856241954,365,519542,0,2012-06-23
359,-22.965318269263552,-43.18012924818844,365,519865,8,2018-02-18
360,-22.91071183158556,-43.18474042013294,171,521423,8,2018-03-20
